Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:21:01:404,1,9,1,Human,1,0,0,False,False,0,0,325
2,13:21:01:415,1,9,1,Human,1,0,0,False,False,0,0,326
2,13:21:01:427,1,9,1,Human,1,0,0,False,False,0,0,327
2,13:21:01:437,1,9,1,Human,1,0,0,False,False,0,0,328
2,13:21:01:448,1,9,1,Human,1,0,0,False,False,0,0,329
2,13:21:01:460,1,9,1,Human,1,0,0,False,False,0,0,330
2,13:21:01:470,1,9,1,Human,1,0,0,False,False,0,0,331
2,13:21:01:482,1,9,1,Human,1,0,0,False,False,0,0,332
2,13:21:01:493,1,9,1,Human,1,0,0,False,False,0,0,333
2,13:21:01:505,1,9,1,Human,1,0,0,False,False,0,0,334
2,13:21:01:515,1,9,1,Human,1,0,0,False,False,0,0,335
2,13:21:01:526,1,9,1,Human,1,0,0,False,False,0,0,336
2,13:21:01:537,1,9,1,Human,1,0,0,False,False,0,0,337
2,13:21:01:548,1,9,1,Human,1,0,0,False,False,0,0,338
2,13:21:01:559,1,9,1,Human,1,0,0,False,False,0,0,339
2,13:21:01:571,1,9,1,Human,1,0,0,False,False,0,0,340
2,13:21:01:582,1,9,1,Human,1,0,0,False,False,0,0,341
2,13:21:01:593,1,9,1,Human,1,0,0,False,False,0,0,342
2,13:21:01:604,1,9,1,Human,1,0,0,False,False,0,0,343
2,13:21:01:615,1,9,1,Human,1,0,0,False,False,0,0,344
2,13:21:01:627,1,9,1,Human,1,0,0,False,False,0,0,345
2,13:21:01:637,1,9,1,Human,1,0,0,False,False,0,0,346
2,13:21:01:648,1,9,1,Human,1,0,0,False,False,0,0,347
2,13:21:01:660,1,9,1,Human,1,0,0,False,False,0,0,348
2,13:21:01:671,1,9,1,Human,1,0,0,False,False,0,0,349
2,13:21:01:682,1,9,1,Human,1,0,0,False,False,0,0,350
2,13:21:01:693,1,9,1,Human,1,0,0,False,False,0,0,351
2,13:21:01:705,1,9,1,Human,1,0,0,False,False,0,0,352
2,13:21:01:715,1,9,1,Human,1,0,0,False,False,0,0,353
2,13:21:01:726,1,9,1,Human,1,0,0,False,False,0,0,354
2,13:21:01:737,1,9,1,Human,1,0,0,False,False,0,0,355
2,13:21:01:749,1,9,1,Human,1,0,0,False,False,0,0,356
2,13:21:01:759,1,9,1,Human,1,0,0,False,False,0,0,357
2,13:21:01:770,1,9,1,Human,1,0,0,False,False,0,0,358
2,13:21:01:782,1,9,1,Human,1,0,0,False,False,0,0,359
2,13:21:01:793,1,9,1,Human,1,0,0,False,False,0,0,360
2,13:21:01:803,1,9,1,Human,1,0,0,False,False,0,0,361
2,13:21:01:815,1,9,1,Human,1,0,0,False,False,0,0,362
2,13:21:01:826,1,9,1,Human,1,0,0,False,False,0,0,363
2,13:21:01:838,1,9,1,Human,1,0,0,False,False,0,0,364
2,13:21:01:848,1,9,1,Human,1,0,0,False,False,0,0,365
2,13:21:01:859,1,9,1,Human,1,0,0,False,False,0,0,366
2,13:21:01:871,1,9,1,Human,1,0,0,False,False,0,0,367
2,13:21:01:882,1,9,1,Human,1,0,0,False,False,0,0,368
2,13:21:01:893,1,9,1,Human,1,0,0,False,False,0,0,369
2,13:21:01:904,1,9,1,Human,1,0,0,False,False,0,0,370
2,13:21:01:915,1,9,1,Human,1,0,0,False,False,0,0,371
2,13:21:01:926,1,9,1,Human,1,0,0,False,False,0,0,372
2,13:21:01:936,1,9,1,Human,1,0,0,False,False,0,0,373
2,13:21:01:948,1,9,1,Human,1,0,0,False,False,0,0,374
